Name,Final,Started,County,AcresBurned,PercentContained,Longitude,Latitude,Type,IsActive,CalFireIncident,Location
Johnson Fire ,True,2020-08-28T16:21:25Z,Los Angeles,290,100,-118.36411,34.65979,Wildfire,False,False,"Johnson Road and Limeridge Dr, East of Elizabeth Lake in Los Angeles County"
Hensley Fire ,True,2020-08-30T11:11:55Z,Madera,688,100,-119.88673,37.08053,Wildfire,False,True,"Road 400 and Road 406, south of Hensley Lake in Madera County"
Hobo Fire ,True,2020-09-01T09:37:58Z,Trinity,0,0,-123.12461,40.82126,Wildfire,False,False,"East Fork Rd and Barney Gulch Rd, north of Helena"
Catholic Fire,True,2020-09-01T17:34:38Z,Lake,13,100,-122.637037,39.012743,Wildfire,False,True,"Highway 20 and Catholic Church Rd, east of Clearlake Oaks"
Valley Fire,True,2020-09-05T16:02:32Z,San Diego,16390,100,-116.692705,32.765615,Wildfire,False,False,"Japatul Road and  Carveacre Road, Southeast of Alpine"
Oak Fire,True,2020-09-07T13:26:45Z,Mendocino,1100,100,-123.3965,39.4935,Wildfire,False,True,"West of Highway 101--Big John Road & Skyview Road, Brooktrails Township, Willits"
Willow Fire,True,2020-09-09T06:04:43Z,Yuba,1311,100,-121.32361,39.3637,Wildfire,False,True,"Neptune Lane and Willow Glen Road, North of Smartville "
Sperry Fire,True,2020-09-08T22:27:00Z,Stanislaus,45,100,-121.18018000000001,37.46377,Wildfire,False,True,"Interstate 5 and Sperry Road, West of Patterson "
Schoolhouse Fire,True,2020-09-09T15:59:31Z,Siskiyou,45,100,-122.84057,41.68229,Wildfire,False,True,Schoolhouse Gap Rd And McAdams Creek Rd
Shackleford Fire,True,2020-09-11T10:05:44Z,Siskiyou,50,100,-123.021635,41.575549,Wildfire,False,True,"Shackleford Rd, southwest of Quartz Valley Reservation"
Fox Fire,True,2020-09-16T11:08:31Z,Siskiyou,2188,100,-122.847359,41.211022,Wildfire,False,False,"Fox Creek, Southwest of Callahan "
