Name,Final,Started,County,AcresBurned,PercentContained,Longitude,Latitude,Type,IsActive,CalFireIncident,Location
Mount R Fire,True,2020-07-03T16:29:04Z,San Bernardino,62,100,-117.124353,34.182436,Wildfire,False,False,"Highway 330 and Old City Creek Road, Southwest of Running Springs"
Sheridan Fire,True,2020-07-04T15:04:41Z,Alameda,108,100,-121.876277,37.536015,Wildfire,False,True,"Sheridan Road, south of Sunol in Santa Clara county. "
Park Fire,True,2020-07-05T07:13:22Z,Santa Clara,343,100,-121.567505,37.166733,Wildfire,False,True,"East Dunne Avenue and Finley Ridge Road, East of Morgan Hill"
Crews Fire,True,2020-07-05T14:55:49Z,Santa Clara,5513,100,-121.501532,37.034839,Wildfire,False,True,"Crews Road and Oak Spring Circle, North of Gilroy"
Soledad Fire,True,2020-07-05T17:18:35Z,Los Angeles,1525,100,-118.328877,34.467915,Wildfire,False,False,"Soledad Canyon Road and Agua Dulce Canyon Rd, South of Agua Dulce "
Patterson Fire,True,2020-07-06T16:04:20Z,San Joaquin,150,100,-121.53524,37.71984,Wildfire,False,True,"Hwy 580 and Patterson Pass Rd, west of Tracy"
Mountain Meadow Fire ,True,2020-07-06T18:22:56Z,Solano,75,100,-122.12447,38.21614,Wildfire,False,False,"Mountain Meadows Drive and Cedar Creek Court, Southwest of Fairfield"
Nail Fire,True,2020-07-07T17:32:13Z,Colusa,25,100,-122.65813,39.35498,Wildfire,False,False,"Fouts Springs, Southwest of Stonyford"
Tripp Fire ,True,2020-07-09T14:27:09Z,Riverside,10,100,-116.7464168,33.551838,Wildfire,False,True,"Cary Road and Tripp Flats Road, West of Anza "
Alum Fire,True,2020-07-11T10:50:33Z,Santa Clara,31,100,-121.79349,37.37731,Wildfire,False,True,"Mt Hamilton Rd and Crothers Rd, northeast of San Jose"
Power Fire,True,2020-07-11T17:57:49Z,Madera,108,100,-119.50307,37.1487,Wildfire,False,True,"Road 222 and Road 235, South of North Fork"
Elliot Fire,True,2020-07-13T12:55:16Z,Riverside,2,100,-117.108421,33.623968,Wildfire,False,True,"Block Elliot Rd, south of  Winchester"
Robinson Fire,True,2020-07-13T15:06:35Z,Butte,33,100,-121.37994,39.43227,Wildfire,False,True,"Gold Mountain Rd and Stoney Oaks Blvd, northeast of Bangor"
Casino Fire,True,2020-07-13T15:08:00Z,Riverside,91,100,-116.83552,33.48429,Wildfire,False,True,"Hwy 371 and Santos Rd, south of Anza"
Mineral Fire,True,2020-07-13T16:40:36Z,Fresno,29667,100,-120.52193,36.09493,Wildfire,False,True,"Hwy 198 and S Coalinga Mineral Springs Rd, west of Coalinga"
Coyote Fire,True,2020-07-15T14:04:08Z,San Benito,1508,100,-121.04401,36.653,Wildfire,False,True,"Panoche Road and Coyote Creek, West of Panoche"
Ben Fire,True,2020-07-15T16:44:16Z,Mariposa,48,100,-119.95807,37.42319,Wildfire,False,True,"Ben Hur Road and Buckeye Road, South of Mariposa  "
Valley Fire ,True,2020-07-15T17:18:23Z,Yuba,500,100,-121.33589,39.10112,Wildfire,False,False,"Spenceville Road and Gandry Drive, Southeast of Beale Air Force base "
Hollow Fire,True,2020-07-16T18:14:18Z,Alameda,253,100,-121.59374,37.64044,Wildfire,False,True,"Tesla Road and McLaughlin Road, Southeast of Livermore"
Pitzer Fire,True,2020-07-17T14:59:54Z,San Bernardino,119,100,-116.97557,34.39464,Wildfire,False,True,"Pitzer Buttes Road and Power line Road,  South of Lucerne Valley "
Badger Fire,True,2020-07-18T17:18:20Z,Siskiyou,557,100,-122.69296,41.79319,Wildfire,False,True,Badger Mountain Road and Hawkinsville Humbug Road
Hog Fire,True,2020-07-18T17:28:18Z,Lassen,9564,100,-120.86375,40.420886,Wildfire,False,True," Hog Flat Reservoir, West of Susanville"
Platina Fire,True,2020-07-19T17:05:41Z,Shasta,340,100,-122.792645,40.462621,Wildfire,False,True,"Platina Rd and Big Foot Rd, southwest of Redding"
Gold Fire,True,2020-07-20T14:12:25Z,Lassen,22634,100,-120.923293,41.11037,Wildfire,False,True,"Highway 139 and County Road A-2, South of Adin"
Milepost 21 Fire,True,2020-07-20T15:44:53Z,Humboldt,100,100,-123.6986222,41.1849445,Wildfire,False,False,"Highway 96 and Deerhorn Rd, southeast of Weitchpec"
Feather Fire,True,2020-07-20T16:09:57Z,Butte,30,100,-121.604579,39.506597,Wildfire,False,True,"Feather Ave and 18th Street, Oroville"
Holland Fire ,True,2020-07-20T18:04:37Z,Contra Costa,75,100,-121.620238,37.977309,Wildfire,False,False,"Delta Rd and Holland Tract Rd, northeast of Brentwood"
Easton Fire,True,2020-07-20T19:10:36Z,San Bernardino,71,100,-117.192142,34.135626,Wildfire,False,False,"Highway 330 and East Highland Avenue, Northeast of San Bernardino"
Rabbit Fire ,True,2020-07-20T19:15:32Z,Madera,135,100,-119.932391,37.118075,Wildfire,False,True,"Road 603 and Road 600, East of Chowchilla"
Iris Fire,True,2020-07-21T19:26:58Z,Mono,120,100,-118.711135,37.518879,Wildfire,False,False,"Iris Meadow and Rock Creek Rd, South of Crowley Lake"
Jack Fire,True,2020-07-24T17:32:36Z,Riverside,145,100,-117.033124,33.93327,Wildfire,False,True,"Hwy 60 and Jackrabbit Trail, West of Beaumont"
Hill Fire,True,2020-07-24T17:47:17Z,Colusa,138,100,-122.359663,39.013591,Wildfire,False,True,"Highway 20 and Highway 16, East of Wilbur Springs"
Karen Fire,True,2020-07-25T18:16:54Z,Riverside,250,100,-117.429598,34.028116,Wildfire,False,True,Sierra Avenue and Karen Lane in Riverside County. 
Ione Fire ,True,2020-07-26T12:57:35Z,Sacramento,51,100,-121.044895,38.420382,Wildfire,False,True,Ione Road at North end of Carbondale road in Sacramento County. 
Ridge Fire,True,2020-07-27T17:19:21Z,Los Angeles,321,100,-118.72004,34.75844,Wildfire,False,False,Old Ridge Route Rd in the community of Quail Lake
Lincoln Fire,True,2020-07-27T18:50:25Z,Humboldt,25,100,-124.19954,40.78804,Wildfire,False,False,"Bendixsen Street and Simpson Private Road, Samoa"
Branch Fire,True,2020-07-28T14:59:38Z,San Luis Obispo,3022,100,-120.00521,35.35146,Wildfire,False,True,"Hwy 58 and Soda Lake Rd, California Valley"
Brook Fire,True,2020-07-29T17:24:17Z,San Bernardino,185,100,-117.45479,34.25143,Wildfire,False,False,Keenbrook Rd and Cajon Blvd
Clay Fire,True,2020-07-29T18:05:20Z,Sacramento,730,100,-121.17197,38.40329,Wildfire,False,True,Clay Station Road and Momtoma Lane
Rabbit Fire,True,2020-07-30T14:40:11Z,Riverside,104,100,-117.034461,33.934137,Wildfire,False,True,Hwy 60 and Jack Rabbit Trail
Sheep Fire,True,2020-07-30T16:14:47Z,Kern,233,100,-118.7933,35.14357,Wildfire,False,False,"Comanche Point Rd, south east of Bakersfield "
Pond Fire,True,2020-08-01T18:44:52Z,San Luis Obispo,1962,99,-120.47346,35.43128,Wildfire,False,True,"Kata Creek Road and Oak Creek Place, East of Santa Margarita"
Sophia Fire,True,2020-08-02T09:12:41.207Z,El Dorado,36,100,-121.103299,38.686478,Wildfire,False,True,Sophia Park Way and Alexandra Dr near El Dorado Hills in El Dorado County. 
Water Fire,True,2020-08-02T15:11:20Z,Riverside,52,100,-116.641846,33.924086,Wildfire,False,True,Whitewater Canyon Road at the Whitewater Preserve In Riverside County. 
