fips,county,province_state,covid_last_update,county_latitude,county_longitudue,covid_confirmed,covid_death,covid_recoverd,covid_active,covid_indidence_rate,covid_case_fatality_ratio,county_population,covid_death_per_capita,covid_confirmed_per_capita,covid_active_cases_per_capita,fires_per_county_in_2020,active_fires_per_county,fire_score,earthquakes_per_county_in_2020,earthquakes_score
6001.0,Alameda,California,2020-10-17 04:24:12,37.64629437,-121.8929271,22408,439,0,21969.0,1340.7294434548794,1.959121742234916,1671329,0.00026266522031269726,0.013407294434548793,0.013144629214236096,3,0,4,0,0
6003.0,Alpine,California,2020-10-17 04:24:12,38.59678594,-119.8223594,3,0,0,3.0,265.72187776793623,0.0,1129,0.0,0.002657218777679362,0.002657218777679362,0,0,0,0,0
6005.0,Amador,California,2020-10-17 04:24:12,38.44583082,-120.65696,309,16,0,293.0,777.3193801569732,5.17799352750809,39752,0.0004024954719259408,0.007773193801569733,0.007370698329643792,2,0,2,0,0
6007.0,Butte,California,2020-10-17 04:24:12,39.66727762,-121.6005252,3000,50,0,2950.0,1368.7005556924255,1.6666666666666667,219186,0.00022811675928207094,0.013687005556924255,0.013458888797642185,9,1,11,0,0
6009.0,Calaveras,California,2020-10-17 04:24:12,38.20537103,-120.552913,331,16,0,315.0,721.0543513778456,4.833836858006042,45905,0.000348545910031587,0.007210543513778455,0.006861997603746868,3,0,3,0,0
6011.0,Colusa,California,2020-10-17 04:24:12,39.17881957,-122.2331726,545,6,0,539.0,2529.354434492041,1.1009174311926606,21547,0.0002784610386596742,0.025293544344920406,0.025015083306260733,4,1,10,0,0
6013.0,Contra Costa,California,2020-10-17 04:24:12,37.91923498,-121.9289527,17945,234,0,17711.0,1555.6649785093705,1.303984396767902,1153526,0.00020285628585744924,0.015556649785093704,0.015353793499236254,5,0,6,0,0
6015.0,Del Norte,California,2020-10-17 04:24:12,41.74228275,-123.8974063,173,1,0,172.0,622.0336545376098,0.5780346820809249,27812,3.5955702574428306e-05,0.006220336545376097,0.0061843808428016685,0,0,0,0,0
6017.0,El Dorado,California,2020-10-17 04:24:12,38.77965956,-120.5233166,1271,4,0,1267.0,659.0853699641677,0.3147128245476003,192843,2.0742261839942336e-05,0.006590853699641678,0.006570111437801735,3,1,4,0,0
6019.0,Fresno,California,2020-10-17 04:24:12,36.75733899,-119.6466953,29727,429,0,29298.0,2975.3748620009387,1.4431325058028055,999101,0.00042938601803020913,0.029753748620009388,0.029324362601979178,5,2,8,2,2
6021.0,Glenn,California,2020-10-17 04:24:12,39.59875897,-122.3938452,638,3,0,635.0,2247.0327193322296,0.4702194357366771,28393,0.00010565984573662522,0.022470327193322297,0.022364667347585673,6,1,12,0,0
6023.0,Humboldt,California,2020-10-17 04:24:12,40.69923009,-123.876044,544,8,0,536.0,401.3042387760221,1.4705882352941178,135558,5.901532923176795e-05,0.00401304238776022,0.003954027058528453,4,2,11,11,13
6025.0,Imperial,California,2020-10-17 04:24:12,33.0393082,-115.3669042,12410,335,0,12075.0,6848.218966421102,2.6994359387590654,181215,0.0018486328394448583,0.06848218966421102,0.06663355682476617,1,0,1,49,50
6027.0,Inyo,California,2020-10-17 04:24:12,36.51112084,-117.41119779999998,210,15,0,195.0,1164.1443538998835,7.142857142857142,18039,0.0008315316813570597,0.011641443538998836,0.010809911857641775,0,0,0,26,27
6029.0,Kern,California,2020-10-17 04:24:12,35.34329425,-118.7277796,33225,406,0,32819.0,3690.83827851971,1.2219714070729872,900202,0.0004510098844481572,0.0369083827851971,0.03645737290074894,6,0,6,16,17
6031.0,Kings,California,2020-10-17 04:24:12,36.07409056,-119.8159973,8134,83,0,8051.0,5318.425526350204,1.020408163265306,152940,0.0005426964822806329,0.053184255263502025,0.05264155878122139,1,0,1,0,0
6033.0,Lake,California,2020-10-17 04:24:12,39.10124298,-122.7536244,642,14,0,628.0,997.1111732364177,2.1806853582554515,64386,0.00021743857360295715,0.00997111173236418,0.009753673158761222,3,1,10,5,5
6035.0,Lassen,California,2020-10-17 04:24:12,40.67311306,-120.59350990000002,752,1,0,751.0,2459.686651620711,0.13297872340425532,30573,3.270859909070094e-05,0.02459686651620711,0.02456415791711641,10,0,10,0,0
6037.0,Los Angeles,California,2020-10-17 04:24:12,34.30828379,-118.2282411,287222,6855,0,280367.0,2861.0313646422933,2.3866556183022194,10039107,0.0006828296580562394,0.028610313646422934,0.027927483988366694,9,1,10,9,9
6039.0,Madera,California,2020-10-17 04:24:12,37.21513971,-119.76655890000002,4836,73,0,4763.0,3073.852549149224,1.5095119933829608,157327,0.0004640017288831542,0.030738525491492242,0.030274523762609088,5,1,7,0,0
6041.0,Marin,California,2020-10-17 04:24:12,38.07122463,-122.7210631,6966,124,0,6842.0,2691.383400431177,1.7800746482917025,258826,0.0004790863359940655,0.026913834004311778,0.02643474766831771,1,0,1,0,0
6043.0,Mariposa,California,2020-10-17 04:24:12,37.57978556,-119.9073334,78,2,0,76.0,453.4092890774865,2.5641025641025643,17203,0.00011625879207115038,0.0045340928907748644,0.004417834098703714,5,2,7,0,0
6045.0,Mendocino,California,2020-10-17 04:24:12,39.4381191,-123.3911313,1077,21,0,1056.0,1241.5128704653655,1.949860724233984,86749,0.00024207771847514092,0.012415128704653656,0.012173050986178515,8,1,14,9,9
6047.0,Merced,California,2020-10-17 04:24:12,37.18922369,-120.7209035,9302,152,0,9150.0,3349.899164505906,1.6340571920017202,277680,0.0005473926822241429,0.03349899164505906,0.032951598962834915,1,0,1,0,0
