FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
6069.0,San Benito,California,US,2020-10-17 04:24:12,36.60308176,-121.069975,1396,14,0,1382.0,"San Benito, California, US",2222.646796586422,1.002865329512894
6071.0,San Bernardino,California,US,2020-10-17 04:24:12,34.84060306,-116.1774685,59463,989,0,58474.0,"San Bernardino, California, US",2727.5542008683146,1.6632191446782032
6073.0,San Diego,California,US,2020-10-17 04:24:12,33.03484597,-116.73653259999999,51781,865,0,50916.0,"San Diego, California, US",1551.1048937642474,1.6704969004074854
6075.0,San Francisco,California,US,2020-10-17 04:24:12,37.75215114,-122.43856720000001,11808,131,0,11677.0,"San Francisco, California, US",1339.4604270437605,1.1094173441734418
6077.0,San Joaquin,California,US,2020-10-17 04:24:12,37.93433732,-121.2730061,21138,483,0,20655.0,"San Joaquin, California, US",2773.4770674462184,2.2849843883054217
6079.0,San Luis Obispo,California,US,2020-10-17 04:24:12,35.38822029,-120.4039028,3969,32,0,3937.0,"San Luis Obispo, California, US",1401.9236271285818,0.8062484252960443
6081.0,San Mateo,California,US,2020-10-17 04:24:12,37.422880799999994,-122.32755459999998,10687,157,0,10530.0,"San Mateo, California, US",1394.1268476713894,1.4690745765883784
6083.0,Santa Barbara,California,US,2020-10-17 04:24:12,34.65329488,-120.0188492,9540,118,0,9422.0,"Santa Barbara, California, US",2136.6229263671357,1.2368972746331235
6085.0,Santa Clara,California,US,2020-10-17 04:24:12,37.23104908,-121.6970462,22974,373,0,22492.0,"Santa Clara, California, US",1185.7238003747175,1.6235744754940369
6087.0,Santa Cruz,California,US,2020-10-17 04:24:12,37.05580291,-122.0066524,2670,23,0,2647.0,"Santa Cruz, California, US",977.2595008290236,0.8614232209737828
6089.0,Shasta,California,US,2020-10-17 04:24:12,40.76391419,-122.0396884,1666,29,0,1637.0,"Shasta, California, US",925.1443802754332,1.7406962785114046
6091.0,Sierra,California,US,2020-10-17 04:24:12,39.57713498,-120.52007009999998,6,0,0,6.0,"Sierra, California, US",199.6672212978369,0.0
6093.0,Siskiyou,California,US,2020-10-17 04:24:12,41.59198861,-122.54074340000001,183,0,0,183.0,"Siskiyou, California, US",420.3128229862882,0.0
6095.0,Solano,California,US,2020-10-17 04:24:12,38.26827353,-121.9357113,7009,74,0,6935.0,"Solano, California, US",1565.7566408946414,1.0557854187473248
6097.0,Sonoma,California,US,2020-10-17 04:24:12,38.52746429,-122.88625060000001,8717,129,0,8588.0,"Sonoma, California, US",1763.3755178663903,1.4798669266949638
6099.0,Stanislaus,California,US,2020-10-17 04:24:12,37.55862499,-120.9970722,17198,391,0,16807.0,"Stanislaus, California, US",3123.1612973522692,2.27352017676474
6101.0,Sutter,California,US,2020-10-17 04:24:12,39.03417539,-121.6945899,1793,12,0,1781.0,"Sutter, California, US",1849.0064039764466,0.6692693809258227
6103.0,Tehama,California,US,2020-10-17 04:24:12,40.12570935,-122.23701709999999,726,8,0,718.0,"Tehama, California, US",1115.4815315592157,1.1019283746556474
6105.0,Trinity,California,US,2020-10-17 04:24:12,40.64917670000001,-123.114713,20,0,0,20.0,"Trinity, California, US",162.8001628001628,0.0
6107.0,Tulare,California,US,2020-10-17 04:24:12,36.22026558,-118.8020203,17072,274,0,16798.0,"Tulare, California, US",3661.986936796834,1.6049671977507032
6109.0,Tuolumne,California,US,2020-10-17 04:24:12,38.02644018,-119.95250929999999,244,4,0,240.0,"Tuolumne, California, US",447.88722052938795,1.639344262295082
6111.0,Ventura,California,US,2020-10-17 04:24:12,34.44465746,-119.09106129999999,13750,159,0,13591.0,"Ventura, California, US",1625.2839814374838,1.1563636363636365
6113.0,Yolo,California,US,2020-10-17 04:24:12,38.68278902,-121.90182879999999,3034,56,0,2978.0,"Yolo, California, US",1375.9637188208615,1.8457481872116017
6115.0,Yuba,California,US,2020-10-17 04:24:12,39.26255932,-121.35356440000001,1246,10,0,1236.0,"Yuba, California, US",1583.8714598057659,0.8025682182985554
