,fips,county,province_state,covid_last_update,county_latitude,county_longitudue,covid_confirmed,covid_death,covid_recovered,covid_active,covid_indidence_rate,covid_case_fatality_ratio,county_population,covid_death_per_10000,covid_confirmed_per_10000,covid_active_cases_per_capita,fires_per_county_in_2020,active_fires_per_county,fire_score,earthquakes_per_county_in_2020,earthquakes_score,fatality_rate_per_10000,combined_risk,combined_risk_2
0,6001.0,Alameda,California,2020-10-17 04:24:12,37.64629437,-121.8929271,22408,439,0,21969.0,1340.7294434548794,1.959121742234916,1671329,2.6266522031269726,134.07294434548794,131.44629214236096,3,0,4,0,0,0.011721939499852608,-1.0,-1.0
1,6003.0,Alpine,California,2020-10-17 04:24:12,38.59678594,-119.82235940000001,3,0,0,3.0,265.72187776793623,0.0,1129,0.0,26.572187776793623,26.572187776793623,0,0,0,0,0,0.0,-3.0,-2.0
2,6005.0,Amador,California,2020-10-17 04:24:12,38.44583082,-120.65696000000001,309,16,0,293.0,777.3193801569732,5.17799352750809,39752,4.024954719259409,77.73193801569732,73.70698329643793,2,0,2,0,0,1.3025743428023975,-2.0,1.0
3,6007.0,Butte,California,2020-10-17 04:24:12,39.66727762,-121.6005252,3000,50,0,2950.0,1368.7005556924255,1.6666666666666667,219186,2.281167592820709,136.87005556924257,134.58888797642183,9,1,10,0,0,0.07603891976069031,0.0,0.0
4,6009.0,Calaveras,California,2020-10-17 04:24:12,38.20537103,-120.55291299999999,331,16,0,315.0,721.0543513778456,4.833836858006042,45905,3.48545910031587,72.10543513778454,68.61997603746869,3,0,3,0,0,1.0530087916362143,-2.0,1.0
5,6011.0,Colusa,California,2020-10-17 04:24:12,39.17881957,-122.2331726,545,6,0,539.0,2529.354434492041,1.1009174311926606,21547,2.784610386596742,252.9354434492041,250.15083306260732,4,1,10,0,0,0.5109376856140811,1.0,1.0
6,6013.0,Contra Costa,California,2020-10-17 04:24:12,37.91923498,-121.9289527,17945,234,0,17711.0,1555.6649785093705,1.3039843967679021,1153526,2.0285628585744924,155.56649785093703,153.53793499236252,5,0,6,0,0,0.011304334681384746,-0.0,-1.0
7,6015.0,Del Norte,California,2020-10-17 04:24:12,41.74228275,-123.89740630000001,173,1,0,172.0,622.0336545376098,0.5780346820809249,27812,0.359557025744283,62.203365453760966,61.843808428016686,0,0,0,0,0,0.20783643106605956,-3.0,-2.0
8,6017.0,El Dorado,California,2020-10-17 04:24:12,38.77965956,-120.5233166,1271,4,0,1267.0,659.0853699641677,0.3147128245476003,192843,0.20742261839942333,65.90853699641677,65.70111437801735,3,1,4,0,0,0.016319639527885392,-2.0,-1.0
9,6019.0,Fresno,California,2020-10-17 04:24:12,36.75733899,-119.6466953,29727,429,0,29298.0,2975.3748620009387,1.4431325058028055,999101,4.293860180302091,297.5374862000939,293.24362601979175,5,2,8,2,2,0.014444310493161406,1.0,0.0
10,6021.0,Glenn,California,2020-10-17 04:24:12,39.59875897,-122.3938452,638,3,0,635.0,2247.0327193322296,0.4702194357366771,28393,1.0565984573662521,224.70327193322296,223.64667347585674,6,1,12,0,0,0.1656110434743342,2.0,1.0
11,6023.0,Humboldt,California,2020-10-17 04:24:12,40.69923009,-123.876044,544,8,0,536.0,401.3042387760221,1.4705882352941178,135558,0.5901532923176794,40.130423877602205,39.54027058528453,4,2,11,11,13,0.10848406108780874,1.0,2.0
12,6025.0,Imperial,California,2020-10-17 04:24:12,33.0393082,-115.36690420000001,12410,335,0,12075.0,6848.218966421102,2.6994359387590654,181215,18.486328394448588,684.8218966421102,666.3355682476617,1,0,1,49,50,0.14896316192142292,9.0,4.0
13,6027.0,Inyo,California,2020-10-17 04:24:12,36.51112084,-117.41119779999998,210,15,0,195.0,1164.1443538998835,7.142857142857142,18039,8.315316813570599,116.41443538998837,108.09911857641777,0,0,0,26,27,3.9596746731288555,1.0,8.0
14,6029.0,Kern,California,2020-10-17 04:24:12,35.34329425,-118.72777959999999,33225,406,0,32819.0,3690.83827851971,1.2219714070729872,900202,4.510098844481572,369.08382785197097,364.57372900748936,6,0,6,16,17,0.013574413376919704,3.0,1.0
15,6031.0,Kings,California,2020-10-17 04:24:12,36.07409056,-119.8159973,8134,83,0,8051.0,5318.425526350204,1.020408163265306,152940,5.42696482280633,531.8425526350203,526.4155878122139,1,0,1,0,0,0.06671950851741244,1.0,-2.0
16,6033.0,Lake,California,2020-10-17 04:24:12,39.10124298,-122.75362439999999,642,14,0,628.0,997.1111732364177,2.1806853582554515,64386,2.1743857360295715,99.71111732364179,97.53673158761222,3,1,10,5,5,0.3386893669827993,1.0,2.0
17,6035.0,Lassen,California,2020-10-17 04:24:12,40.67311306,-120.59350990000002,752,1,0,751.0,2459.686651620711,0.13297872340425532,30573,0.3270859909070094,245.9686651620711,245.6415791711641,10,0,10,0,0,0.043495477514229976,1.0,0.0
18,6037.0,Los Angeles,California,2020-10-17 04:24:12,34.30828379,-118.22824109999999,287222,6855,0,280367.0,2861.0313646422933,2.3866556183022194,10039107,6.828296580562393,286.1031364642293,279.2748398836669,9,1,10,9,9,0.002377358482484766,3.0,1.0
19,6039.0,Madera,California,2020-10-17 04:24:12,37.21513971,-119.76655890000002,4836,73,0,4763.0,3073.852549149224,1.5095119933829608,157327,4.640017288831542,307.38525491492237,302.7452376260909,5,1,7,0,0,0.09594742119171921,1.0,-0.0
20,6041.0,Marin,California,2020-10-17 04:24:12,38.07122463,-122.72106310000001,6966,124,0,6842.0,2691.383400431177,1.7800746482917025,258826,4.790863359940655,269.13834004311775,264.3474766831771,1,0,1,0,0,0.06877495492306425,-1.0,-2.0
