fips,county,province_state,covid_last_update,county_latitude,county_longitudue,covid_confirmed,covid_death,covid_recovered,covid_active,covid_indidence_rate,covid_case_fatality_ratio,county_population,covid_death_per_10000,covid_confirmed_per_10000,covid_active_cases_per_capita,fires_per_county_in_2020,active_fires_per_county,fire_score,earthquakes_per_county_in_2020,earthquakes_score,fatality_rate_per_10000,combined_risk,combined_risk_2,labels
6001.0,Alameda,California,2020-10-17 04:24:12,37.64629437,-121.8929271,22408,439,0,21969.0,1340.7294434548794,1.959121742234916,1671329,2.626652203126973,134.07294434548794,131.44629214236096,3,0,4,0,0,0.011721939499852608,-1.0,-1.0,5
6003.0,Alpine,California,2020-10-17 04:24:12,38.59678594,-119.8223594,3,0,0,3.0,265.72187776793623,0.0,1129,0.0,26.572187776793623,26.572187776793623,0,0,0,0,0,0.0,-3.0,-2.0,1
6005.0,Amador,California,2020-10-17 04:24:12,38.44583082,-120.65696,309,16,0,293.0,777.3193801569732,5.17799352750809,39752,4.024954719259409,77.73193801569732,73.70698329643794,2,0,2,0,0,1.3025743428023977,-2.0,1.0,7
6007.0,Butte,California,2020-10-17 04:24:12,39.66727762,-121.6005252,3000,50,0,2950.0,1368.7005556924255,1.6666666666666667,219186,2.281167592820709,136.87005556924257,134.58888797642186,9,1,10,0,0,0.07603891976069031,0.0,0.0,5
6009.0,Calaveras,California,2020-10-17 04:24:12,38.20537103,-120.552913,331,16,0,315.0,721.0543513778456,4.833836858006042,45905,3.48545910031587,72.10543513778455,68.61997603746869,3,0,3,0,0,1.0530087916362143,-2.0,1.0,7
6011.0,Colusa,California,2020-10-17 04:24:12,39.17881957,-122.2331726,545,6,0,539.0,2529.354434492041,1.1009174311926606,21547,2.7846103865967415,252.93544344920412,250.15083306260726,4,1,10,0,0,0.5109376856140811,1.0,1.0,7
6013.0,Contra Costa,California,2020-10-17 04:24:12,37.91923498,-121.9289527,17945,234,0,17711.0,1555.6649785093705,1.303984396767902,1153526,2.0285628585744924,155.56649785093703,153.53793499236255,5,0,6,0,0,0.011304334681384745,-0.0,-1.0,5
6015.0,Del Norte,California,2020-10-17 04:24:12,41.74228275,-123.8974063,173,1,0,172.0,622.0336545376098,0.5780346820809249,27812,0.359557025744283,62.203365453760966,61.84380842801669,0,0,0,0,0,0.2078364310660596,-3.0,-2.0,1
6017.0,El Dorado,California,2020-10-17 04:24:12,38.77965956,-120.5233166,1271,4,0,1267.0,659.0853699641677,0.3147128245476003,192843,0.20742261839942333,65.90853699641677,65.70111437801735,3,1,4,0,0,0.016319639527885392,-2.0,-1.0,1
6019.0,Fresno,California,2020-10-17 04:24:12,36.75733899,-119.6466953,29727,429,0,29298.0,2975.3748620009387,1.4431325058028055,999101,4.293860180302091,297.5374862000939,293.24362601979175,5,2,8,2,2,0.014444310493161406,1.0,0.0,9
6021.0,Glenn,California,2020-10-17 04:24:12,39.59875897,-122.3938452,638,3,0,635.0,2247.0327193322296,0.4702194357366771,28393,1.056598457366252,224.70327193322296,223.64667347585674,6,1,12,0,0,0.1656110434743342,2.0,1.0,5
6023.0,Humboldt,California,2020-10-17 04:24:12,40.69923009,-123.876044,544,8,0,536.0,401.3042387760221,1.4705882352941178,135558,0.5901532923176794,40.13042387760221,39.54027058528453,4,2,11,11,13,0.10848406108780874,1.0,2.0,7
6025.0,Imperial,California,2020-10-17 04:24:12,33.0393082,-115.3669042,12410,335,0,12075.0,6848.218966421102,2.6994359387590654,181215,18.486328394448584,684.8218966421102,666.3355682476617,1,0,1,49,50,0.14896316192142292,9.0,4.0,3
6027.0,Inyo,California,2020-10-17 04:24:12,36.51112084,-117.41119779999998,210,15,0,195.0,1164.1443538998835,7.142857142857142,18039,8.315316813570599,116.41443538998837,108.09911857641777,0,0,0,26,27,3.959674673128856,1.0,8.0,6
6029.0,Kern,California,2020-10-17 04:24:12,35.34329425,-118.7277796,33225,406,0,32819.0,3690.83827851971,1.2219714070729872,900202,4.510098844481573,369.0838278519709,364.5737290074894,6,0,6,16,17,0.013574413376919704,3.0,1.0,4
6031.0,Kings,California,2020-10-17 04:24:12,36.07409056,-119.8159973,8134,83,0,8051.0,5318.425526350204,1.020408163265306,152940,5.42696482280633,531.8425526350203,526.4155878122139,1,0,1,0,0,0.06671950851741244,1.0,-2.0,4
6033.0,Lake,California,2020-10-17 04:24:12,39.10124298,-122.7536244,642,14,0,628.0,997.1111732364177,2.1806853582554515,64386,2.1743857360295715,99.7111173236418,97.53673158761221,3,1,10,5,5,0.3386893669827993,1.0,2.0,7
6035.0,Lassen,California,2020-10-17 04:24:12,40.67311306,-120.59350990000002,752,1,0,751.0,2459.686651620711,0.13297872340425532,30573,0.3270859909070094,245.96866516207106,245.6415791711641,10,0,10,0,0,0.043495477514229976,1.0,0.0,5
6037.0,Los Angeles,California,2020-10-17 04:24:12,34.30828379,-118.2282411,287222,6855,0,280367.0,2861.0313646422933,2.3866556183022194,10039107,6.828296580562393,286.1031364642293,279.2748398836669,9,1,10,9,9,0.002377358482484766,3.0,1.0,2
6039.0,Madera,California,2020-10-17 04:24:12,37.21513971,-119.76655890000002,4836,73,0,4763.0,3073.852549149224,1.5095119933829608,157327,4.640017288831542,307.38525491492237,302.7452376260909,5,1,7,0,0,0.0959474211917192,1.0,-0.0,0
6041.0,Marin,California,2020-10-17 04:24:12,38.07122463,-122.7210631,6966,124,0,6842.0,2691.383400431177,1.7800746482917025,258826,4.790863359940655,269.1383400431177,264.3474766831771,1,0,1,0,0,0.06877495492306425,-1.0,-2.0,7
6043.0,Mariposa,California,2020-10-17 04:24:12,37.57978556,-119.9073334,78,2,0,76.0,453.4092890774865,2.5641025641025643,17203,1.1625879207115042,45.340928907748655,44.178340987037146,5,2,7,0,0,1.4904973342455181,-1.0,2.0,7
6045.0,Mendocino,California,2020-10-17 04:24:12,39.4381191,-123.3911313,1077,21,0,1056.0,1241.5128704653655,1.949860724233984,86749,2.420777184751409,124.15128704653657,121.73050986178517,8,1,14,9,9,0.22477039784135655,2.0,3.0,0
6047.0,Merced,California,2020-10-17 04:24:12,37.18922369,-120.7209035,9302,152,0,9150.0,3349.899164505906,1.6340571920017202,277680,5.473926822241429,334.9899164505906,329.5159896283492,1,0,1,0,0,0.058846772976149535,-0.0,-2.0,0
6049.0,Modoc,California,2020-10-17 04:24:12,41.58965602,-120.7244817,27,0,0,27.0,305.3953172718018,0.0,8841,0.0,30.539531727180186,30.539531727180186,0,0,0,0,0,0.0,-3.0,-2.0,1
6051.0,Mono,California,2020-10-17 04:24:12,37.93899289,-118.8872409,174,2,0,172.0,1204.6524508446416,1.1494252873563218,14444,1.3846579894765991,120.46524508446413,119.08058709498755,4,1,5,23,24,0.7957804537221834,2.0,3.0,0
6053.0,Monterey,California,2020-10-17 04:24:12,36.21862405,-121.2413397,10887,82,0,10805.0,2508.172814420093,0.7531918802241205,434061,1.889135398020094,250.81728144200932,248.9281460439892,6,1,7,6,6,0.01735221271259386,1.0,0.0,0
6055.0,Napa,California,2020-10-17 04:24:12,38.50735751,-122.332839,1842,14,0,1828.0,1337.2633290742247,0.760043431053203,137744,1.016378208851202,133.72633290742246,132.7099546985713,3,1,5,0,0,0.05517797007878405,-1.0,-1.0,1
6057.0,Nevada,California,2020-10-17 04:24:12,39.30394768,-120.7627281,579,8,0,571.0,580.422033983259,1.381692573402418,99755,0.8019648137937948,58.0422033983259,57.2402385845321,1,0,1,0,0,0.1385086034186174,-2.0,-2.0,1
6059.0,Orange,California,2020-10-17 04:24:12,33.70147516,-117.76459979999998,56587,1401,0,55186.0,1781.8793510201874,2.475833672044816,3175692,4.411636896777144,178.1879351020187,173.77629820524157,0,0,0,3,3,0.007796202125536155,-1.0,-2.0,9
6061.0,Placer,California,2020-10-17 04:24:12,39.06167234,-120.7240569,3880,52,0,3828.0,974.0691739742776,1.3402061855670102,398329,1.3054535321304752,97.40691739742776,96.10146386529728,4,0,4,0,0,0.03364570959099162,-1.0,-1.0,1
6063.0,Plumas,California,2020-10-17 04:24:12,40.00355989,-120.8395236,53,0,0,53.0,281.80996437496674,0.0,18807,0.0,28.18099643749668,28.18099643749668,2,1,3,0,0,0.0,-2.0,-1.0,1
6065.0,Riverside,California,2020-10-17 04:24:12,33.74314981,-115.9933578,63284,1269,0,62015.0,2561.5390282148155,2.005246191770432,2470546,5.1365163813990895,256.1539028214816,251.01738644008248,18,2,20,14,14,0.00811661143638059,5.0,4.0,8
6067.0,Sacramento,California,2020-10-17 04:24:12,38.45106826,-121.3425374,24102,464,0,23638.0,1552.9058836718732,1.9251514397145464,1552058,2.9895789976920963,155.2905883671873,152.30100936949518,5,0,5,0,0,0.012403862740403684,-1.0,-1.0,5
6069.0,San Benito,California,2020-10-17 04:24:12,36.60308176,-121.069975,1396,14,0,1382.0,2222.646796586422,1.002865329512894,62808,2.2290154120494203,222.2646796586422,220.03566424659283,2,0,2,0,0,0.15967159112101867,-1.0,-1.0,7
